,id,title,price,available_quantity,city,state,seller,Brand
39,MLA1359105096,Amazon Fire Tv Stick Control De Voz 2.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,38206.0,1,Córdoba,Córdoba,MIGOSHOP,AMAZON
40,MLA1369051919,Amazon Fire Tv Stick 4k De Voz 3° Gen 8gb Cargador Original!,33888.0,1,MICROCENTRO,Capital Federal,RAPIDA_ENTREGA_,AMAZON
41,MLA1100059077,Amazon Fire Tv Stick Lite Full Hd Control Remoto Alexa,22500.0,1,San Nicolás,Capital Federal,TECNOSTOCK.COM.AR,AMAZON
42,MLA1386130548,Amazon Fire Tv Stick 4k Control De Voz Alexa - 8gb,26990.0,1,Córdoba,Córdoba,VANGUVANGU,AMAZON
43,MLA1122778348,Amazon Fire Tv Stick 4k Hd Smart Tv Apps Netflix Disney  +,42299.0,1,Ituzaingó,Buenos Aires,EC-ELECTRONICA,AMAZON
44,MLA1369100363,Combo Adaptadores Usb Otg Para Fire Tv  Y Usb Ethernet Rj45 ,8084.0,1,Nueva Pompeya,Capital Federal,ASHERCROFT,AMAZON
45,MLA1232135211,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb Negro Smart ,51999.0,1,Recoleta,Capital Federal,BONDI STORE2,AMAZON
46,MLA1134577383,Amazon Fire Tv Stick Max Alexa Hdr 4k 8gb Wifi6 2gb Ram,51115.04,1,Ciudad Autonoma de Buenos Aires,Capital Federal,NOVAINFOEXPRESS,AMAZON
47,MLA1174670102,Amazon Fire Tv Stick 4k De Voz 4k 8gb 1.5gb De Memoria Ram,31900.0,1,San Isidro,Buenos Aires,INCOPAR DIGITAL,AMAZON
48,MLA1109986856,Amazon Fire Tv Stick 4k Max - Alexa 3 - Wi-fi 6 - Hdr - 2021,45000.0,1,Belgrano,Capital Federal,PK-STORE,AMAZON
49,MLA1370574985,Amazon Fire Tv Stick Ed. 2021 Control De Voz Full Hd 8gb ,23990.0,1,Córdoba,Córdoba,VANGUVANGU,AMAZON
0,MLA1413418134,Xiaomi Mi Tv Stick Mdz-24-aa Control De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram,29999.0,50,Ciudad Autonoma de Buenos Aires,Capital Federal,OHPIC,XIAOMI
1,MLA1333256461,Xiaomi Stick 4k Mdz-27-aa Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,41499.0,1,Rosario,Santa Fe,TECHWAY SRL,XIAOMI
2,MLA1370811937,Xiaomi Mi Box S Mdz-22-ab Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,46990.0,1,San Justo,Buenos Aires,SANJUSTOCENTROCOMPUTACION,XIAOMI
3,MLA1345893161,Auriculares In-ear Gamer Inalámbricos Xiaomi Mi True Wireless Earbuds Basic 2 Twsej061ls X 1 Unidades Negro,6799.0,100,floresta,Capital Federal,TOUCH.DIGITAL,XIAOMI
4,MLA905544555,Xiaomi Mi Tv Stick Full Hd Chromecast Android Netflix Amazon,33699.0,1,Palermo,Capital Federal,TENDEX,XIAOMI
5,MLA1128205818,Xiaomi Tv Stick 4k 2gb Ram 8gb Rom C/control Netflix-android,39846.29,100,Barracas,Capital Federal,IVMACO,XIAOMI
