,title,price,available_quantity,seller,city,state,Brand
107,Amazon Fire Tv Stick 4k Max Control De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,45000.0,1,STOREARGENTINASA,Liniers,Capital Federal,AMAZON
108,Amazon Fire Tv Cube Control De Voz 2.ª Generación 4k 16gb Negro Con 2gb De Memoria Ram,62999.0,1,MICA_GUTI,Villa Crespo,Capital Federal,AMAZON
109,Amazon Fire Tv Stick De Voz Full Hd 8gb 1gb Ram Factura,26157.74,1,NOTRE DAME,Belgrano,Capital Federal,AMAZON
110,Amazon Fire Tv Stick 4k Hdr Control Por Voz Con Alexa ,26990.0,1,BH COMPUTACION,San Nicolás,Capital Federal,AMAZON
111,Amazon Fire Tv Stick 3ra Gen Full Hd Youtube Netflix Disney,23499.0,1,IWANT..,San Cristobal,Capital Federal,AMAZON
112,Amazon Fire Tv Stick Lite Full Hd 8gb 1gb Ram Streaming,23899.0,1,VIER TECH,San Cristobal,Capital Federal,AMAZON
113,Amazon Fire Tv Stick Lite De Voz Full Hd 8gb + Fuente 220v!,21250.0,1,LIBERTECSRL,Temperley,Buenos Aires,AMAZON
114,Amazon Fire Tv Stick De Voz 3era Gen Full Hd 8gb 1gb Ram,24999.0,50,TIENDABA_BH.COM.AR,Paternal,Capital Federal,AMAZON
115,Amazon Fire Tv Stick Max  Alexa Hdr 4k 8gb Wifi6 2gb Ram,38984.99,1,NOVAINFOEXPRESS,Ciudad Autonoma de Buenos Aires,Capital Federal,AMAZON
116,Amazon Fire Tv Stick Hd 8gb Hdr Dolby 1080p Imp Control Voz,37116.44,1,NOVAINFOEXPRESS,Ciudad Autonoma de Buenos Aires,Capital Federal,AMAZON
117,Amazon Fire Tv Cube Control De Voz 2.ª Gen 4k 16gb 2gb Ram,62999.0,1,MICA_GUTI,Villa Crespo,Capital Federal,AMAZON
118,Fire Tv Stick 4k Ultra Hd Con Fuente Original,26999.0,1,LIBERTECSRL,Temperley,Buenos Aires,AMAZON
119,Amazon Fire Tv Stick 3ra Gen Full Hd Youtube Netflix Disney ,23499.0,1,TECNEC S.A,San Cristobal,Capital Federal,AMAZON
